Date,Title,Content,Link
"25 Apr 2020,Saturday","Uttar Pradesh reports 177 new coronavirus cases; total nears 1,800","Uttar Pradesh has reported 177 new coronavirus cases, taking the total number of cases in the state to 1,793, figures released by the state government showed. The total number of people who've recovered and have been discharged from hospitals rose to 261, whereas the death toll stands at 27. Agra has reported 371 cases, while Lucknow has reported 193 cases.",https://inshorts.com/en/news/uttar-pradesh-reports-177-new-coronavirus-cases-total-nears-1800-1587836232989
"25 Apr 2020,Saturday","Gujarat reports 256 new COVID-19 cases; state total crosses 3,000","Coronavirus cases in Gujarat crossed the 3,000-mark to reach 3,071 on Saturday, according to a state health department bulletin. The state recorded 256 new coronavirus cases and six more patients died of the virus today, taking Gujarat's coronavirus death toll to 133, said state Principal Secretary (Health) Jayanti Ravi. Gujarat has recorded 282 coronavirus recoveries so far.",https://inshorts.com/en/news/gujarat-reports-256-new-covid19-cases-state-total-crosses-3000-1587836748068
"25 Apr 2020,Saturday","Coronavirus cases in Rajasthan rise to 2,083; recoveries reach 513","The total number of coronavirus cases in Rajasthan has reached 2,083 after the state reported 49 new cases today, the state government said. Kota and Jaipur reported one death each today, taking the death toll in the state to 34. The number of recoveries in the state has reached 513, whereas 244 people have been discharged.",https://inshorts.com/en/news/coronavirus-cases-in-rajasthan-rise-to-2083-recoveries-reach-513-1587835842705
"26 Apr 2020,Sunday",We were fired through single e-mail without prior notice: Udaan contract staff,"Bengaluru-based B2B e-commerce startup Udaan has reportedly fired thousands of its contract employees to conserve cash amid the lockdown, reports said. This reportedly accounts for half of its ground staff, mainly sales force and delivery executives. Several people took to Twitter to complain about the termination, claiming that they were fired through a single e-mail without any prior notice.",https://inshorts.com/en/news/we-were-fired-through-single-email-without-prior-notice-udaan-contract-staff-1587875884219
"26 Apr 2020,Sunday",Big B says 'corona isn't leaving us alone' after bat enters his room; criticised,"Amitabh Bachchan was criticised by social media users after he tweeted that a bat entered his room in 'Jalsa' and added that coronavirus doesn't seem to stop following him. ""Not in good taste sir...We don't have exact process of human virus spillover. Demonising bat is last thing we want,"" an IFS officer replied. ""Bats are [not] villains,"" another tweet read.",https://inshorts.com/en/news/big-b-says-corona-isnt-leaving-us-alone-after-bat-enters-his-room-criticised-1587878133857
"26 Apr 2020,Sunday","Report of Centre giving ₹1,000 under 'Corona Sahayata Yojana' is fake: Govt","The Central government on Saturday said a message claiming that the government is providing ₹1,000 to people under so-called 'Corona Sahayata Yojana' is fake. ""No such scheme is being run by the Central government. The claim and link given in the message are fake,"" said PIB, a nodal agency of the Government of India. ""Please beware of fraudsters,"" it added.",https://inshorts.com/en/news/report-of-centre-giving-₹1000-under-corona-sahayata-yojana-is-fake-govt-1587872638995
"26 Apr 2020,Sunday","58 new COVID-19 +ve cases reported in Rajasthan, death toll reaches 35","Rajasthan recorded 58 new COVID-19 positive cases till Sunday morning, taking the total number of positive cases in the state to 2,141, the state's health department said. Out of the total, highest cases were reported from Nagaur (20), followed by Jodhpur (15) and Ajmer (11). Jodhpur also recorded one coronavirus-related death, taking the death toll in the state to 35.",https://inshorts.com/en/news/58-new-covid19-+ve-cases-reported-in-rajasthan-death-toll-reaches-35-1587878902033
"26 Apr 2020,Sunday",Woman unable to reach home due to lockdown allegedly raped in Rajasthan school,A 40-year-old woman who had been unable to make her way back to her Jaipur home for over a month from Dausa due to lockdown restrictions was allegedly raped on the night of April 23-24 by three men. The incident allegedly happened at a school where she was put up by local authorities. The three accused have been arrested.,https://inshorts.com/en/news/woman-unable-to-reach-home-due-to-lockdown-allegedly-raped-in-rajasthan-school-1587878433437
"26 Apr 2020,Sunday",Delhi's peak power demand falls up to 49% amid lockdown: Report,"Delhi's peak power demand has fallen by up to 49% due to the reduction in commercial and industrial activities amid lockdown, reports said, citing power department officials. As per official data, the peak power demand during the day has reduced by 40-50% and has fallen 20-30% during the night. However, there has reportedly been no impact on Delhi's domestic load.",https://inshorts.com/en/news/delhis-peak-power-demand-falls-up-to-49-amid-lockdown-report-1587878399688
"25 Apr 2020,Saturday","K'taka MLC, son booked for disrupting COVID-19 testing of journalists","An FIR was registered against JD(S) MLC KT Srikante Gowda, his son and three others for disrupting coronavirus testing of journalists in Karnataka's Mandya on Saturday. A journalists' association filed a complaint alleging that the accused created ruckus while testing was going on at Ambedkar Bhavan in Mandya. Further actions are being taken in the matter, said police.",https://inshorts.com/en/news/ktaka-mlc-son-booked-for-disrupting-covid19-testing-of-journalists-1587837087221
"25 Apr 2020,Saturday","Global coronavirus deaths double to 2L in 16 days, took 91 days to pass 1L deaths","The global death toll due to coronavirus has doubled from 1 lakh to more than 2 lakh in 16 days. It had taken 91 days for the death toll to pass 1 lakh after the first death linked to the disease was reported on January 10 in China's Wuhan. US has reported the most number of deaths (more than 52,000).",https://inshorts.com/en/news/global-coronavirus-deaths-double-to-2l-in-16-days-took-91-days-to-pass-1l-deaths-1587839150583
"26 Apr 2020,Sunday","Google starts making face shields, donates 49,000 units to healthcare staff","After Apple, technology giant Google has started making its own face shields to help protect healthcare workers against COVID-19 transmission. It is distributing 49,000 units of the personal protective equipment to medical facilities in the Silicon Valley through the Valley Medical Center Foundation. Google engineers designed the shield after consulting physicians and nurses from the foundation.",https://inshorts.com/en/news/google-starts-making-face-shields-donates-49000-units-to-healthcare-staff-1587876166146
"25 Apr 2020,Saturday",I'd still give him out: Gould on LBW decision against Sachin in Ind-Pak WC match,"Umpire Ian Gould, reflecting on his decision to give Sachin Tendulkar out LBW in 2011 World Cup semi-final against Pakistan which was then overturned, said he would still give him out. ""All I saw was a quicker ball from Ajmal...it thudded into pads and went to square leg. It was just right...he's out. Sachin or anybody,"" he added.",https://inshorts.com/en/news/id-still-give-him-out-gould-on-lbw-decision-against-sachin-in-indpak-wc-match-1587835899005
"25 Apr 2020,Saturday",Saudi Arabia to abolish flogging as a form of punishment ,"Saudi Arabia will end flogging as a form of punishment, replacing it with imprisonment or fines, according to a document from its Supreme Court. It's an extension of human rights reforms brought by King Salman and Crown Prince Mohammed bin Salman, it said. Saudi judges have in the past sentenced criminals to flogging for offences including public intoxication and harassment.",https://inshorts.com/en/news/saudi-arabia-to-abolish-flogging-as-a-form-of-punishment-1587836384627
